"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.408508881E0,-1.022399998E1,1.080999970E0,-5.138999939E0,1.149382690E1
1.413490112E0,-1.036400032E1,1.235000014E0,-5.462999821E0,1.178058126E1
1.418471577E0,-1.060200024E1,1.123999953E0,-5.603000164E0,1.204406060E1
1.423452886E0,-1.119799995E1,1.009999990E0,-5.577000141E0,1.255062682E1
1.428434356E0,-1.227000046E1,1.042999983E0,-5.318999767E0,1.341389275E1
1.433415589E0,-1.371700001E1,1.136999965E0,-4.953999996E0,1.462843034E1
1.438396889E0,-1.540400028E1,1.353000045E0,-4.923999786E0,1.622835813E1
1.443378351E0,-1.710499954E1,1.608999968E0,-5.395999908E0,1.800796227E1
1.448359661E0,-1.855999947E1,1.878999949E0,-6.120999813E0,1.963341182E1
1.453340900E0,-1.970599937E1,2.338000059E0,-6.967999935E0,2.103201556E1
1.458322360E0,-2.054299927E1,2.887000084E0,-7.579999924E0,2.208633033E1
1.463303670E0,-2.097400093E1,3.306999922E0,-8.223999977E0,2.277013700E1
1.468285144E0,-2.143899918E1,3.821000099E0,-8.505000114E0,2.337874578E1
1.473266377E0,-2.202599907E1,4.486000061E0,-8.675000191E0,2.409407520E1
1.478247617E0,-2.263999939E1,5.145999908E0,-8.458999634E0,2.471043428E1
1.483228922E0,-2.313500023E1,5.618000031E0,-7.548999786E0,2.497553919E1
1.488210384E0,-2.350200081E1,5.610000134E0,-6.085999966E0,2.491697291E1
1.493191675E0,-2.405599976E1,5.564000130E0,-4.553999901E0,2.510753148E1
1.498172906E0,-2.474099922E1,5.566999912E0,-3.171999931E0,2.555719300E1
1.503154442E0,-2.530699921E1,5.594999790E0,-2.107000113E0,2.600360900E1
1.508135713E0,-2.555900002E1,5.696000099E0,-1.343000054E0,2.622042235E1
1.513117172E0,-2.537700081E1,5.980000019E0,-1.031000018E0,2.609244203E1
1.518098415E0,-2.478400040E1,6.263999939E0,-1.088999987E0,2.558652559E1
1.523079721E0,-2.387700081E1,6.387000084E0,-1.376000047E0,2.475476346E1
1.528061182E0,-2.302499962E1,6.375999928E0,-1.692000031E0,2.395134332E1
1.533042492E0,-2.228199959E1,6.334000111E0,-1.921000004E0,2.324429616E1
1.538023723E0,-2.141399956E1,6.333000183E0,-1.973000050E0,2.241782767E1
1.543005182E0,-2.030400085E1,6.315000057E0,-1.850000024E0,2.134371515E1
1.547986445E0,-1.905500031E1,6.159999847E0,-1.606999993E0,2.009032314E1
1.552967751E0,-1.782600021E1,5.921000004E0,-1.305999994E0,1.882897131E1
1.557949212E0,-1.670599937E1,5.686999798E0,-1.036000013E0,1.767783012E1
1.562930522E0,-1.553100014E1,5.412000179E0,-7.990000248E-1,1.646633269E1
1.567911982E0,-1.425800037E1,5.083000183E0,-7.220000029E-1,1.515416608E1
1.572893267E0,-1.293500042E1,4.795000076E0,-7.099999785E-1,1.381341238E1
1.577874498E0,-1.155000019E1,4.482999802E0,-6.190000176E-1,1.240495678E1
1.582855958E0,-1.067000008E1,4.221000195E0,-5.870000124E-1,1.148957411E1
1.587837171E0,-9.977000237E0,3.846999884E0,-2.469999939E-1,1.069583801E1
1.592818476E0,-9.302000046E0,3.342999935E0,-3.959999979E-1,9.892404633E0
1.597799938E0,-8.819000244E0,3.010999918E0,-3.599999845E-2,9.318915270E0
1.602781171E0,-8.819999695E0,2.736000061E0,-1.889999956E-1,9.236547621E0
1.607762476E0,-9.246000290E0,2.582999945E0,4.100000113E-2,9.600108910E0
1.612743929E0,-9.642000198E0,2.348999977E0,2.389999926E-1,9.926887212E0
1.617725239E0,-9.944999695E0,2.105000019E0,-4.600000009E-2,1.016543949E1
1.622706469E0,-1.012600040E1,1.850000024E0,-4.819999933E-1,1.030488759E1
1.627687905E0,-1.017700005E1,1.605000019E0,-9.940000176E-1,1.035062274E1
1.632669215E0,-1.021599960E1,1.458999991E0,-1.281999946E0,1.039898325E1
1.637650683E0,-1.030599976E1,1.314000010E0,-1.192000031E0,1.045758534E1
1.642631916E0,-1.039099979E1,1.032999992E0,-8.470000029E-1,1.047651539E1
1.647613222E0,-1.039900017E1,6.639999747E-1,-4.309999943E-1,1.042908728E1
1.652594693E0,-1.017099953E1,1.809999943E-1,-3.200000152E-2,1.017266024E1
1.657576003E0,-9.779000282E0,-3.790000081E-1,4.140000045E-1,9.795094871E0
1.662557234E0,-9.491000175E0,-6.990000010E-1,7.889999747E-1,9.549356329E0
1.667538669E0,-9.340000153E0,-7.519999743E-1,9.729999900E-1,9.420606976E0
